alpha	B
-	I
catenin	I
inhibits	O
beta	B
-	I
catenin	I
signaling	O
by	O
preventing	O
formation	O
of	O
a	O
beta	B
-	I
catenin*T	I
-	I
cell	I
factor*DNA	I
complex	O
.	O

A	O
binary	O
complex	O
of	O
birch	B
profilin	I
and	O
skeletal	B
muscle	I
actin	I
could	O
be	O
isolated	O
by	O
gel	O
chromatography	O
.	O

Accordingly	O
,	O
beta	B
-	I
catenin	I
is	O
also	O
found	O
in	O
these	O
structures	O
,	O
again	O
in	O
the	O
absence	O
of	O
alpha	B
-	I
catenin	I
.	O

BACKGROUND	O
AND	O
OBJECTIVES	O
:	O
Reduced	O
expressions	O
of	O
cell	O
adhesion	O
molecules	O
(	O
E	B
-	I
cadherin	I
,	O
alpha	B
-	I
catenin	I
,	O
and	O
beta	B
-	I
catenin	I
)	O
has	O
been	O
reported	O
to	O
be	O
associated	O
with	O
tumor	O
metastasis	O
.	O

BACKGROUND	O
:	O
p27	B
(	I
Kip1	I
)	I
,	O
a	O
cyclin	O
-	O
dependent	O
kinase	O
inhibitor	O
,	O
negatively	O
regulates	O
the	O
G1	O
phase	O
progression	O
of	O
the	O
cell	O
cycle	O
by	O
binding	O
to	O
the	O
cyclin	O
E	B
/	I
cyclin	I
-	I
dependent	I
kinase	I
2	I
complex	O
.	O

Because	O
beta	B
-	I
catenin	I
is	O
known	O
to	O
interact	O
with	O
alpha	B
-	I
catenin	I
,	O
which	O
binds	O
to	O
actin	B
,	O
we	O
generated	O
a	O
fusion	O
molecule	O
consisting	O
of	O
the	O
ectodomain	O
of	O
E	B
-	I
cadherin	I
and	O
the	O
actin	B
binding	O
site	O
of	O
alpha	B
-	I
catenin	I
.	O

Because	O
histone	O
H3	B
shares	O
many	O
structural	O
features	O
with	O
histone	O
H4	B
and	O
is	O
intimately	O
associated	O
with	O
H4	B
in	O
the	O
assembled	O
nucleosome	O
,	O
we	O
asked	O
whether	O
H3	B
has	O
similar	O
functions	O
.	O

Because	O
both	B
proteins	B
exchange	O
rapidly	O
between	O
actin	B
molecules	B
,	O
low	O
concentrations	O
of	O
profilin	B
can	O
overcome	O
the	O
inhibitory	O
effects	O
of	O
high	O
concentrations	O
of	O
thymosin	B
beta	I
4	I
on	O
the	O
nucleotide	O
exchange	O
.	O

Because	O
other	O
researchers	O
have	O
shown	O
that	O
the	O
RAD51	B
and	O
RAD52	B
proteins	B
interact	O
,	O
RAD51	B
on	O
a	O
high	O
copy	O
number	O
plasmid	O
was	O
tested	O
and	O
found	O
to	O
suppress	O
the	O
rad52	B
-	I
20	I
allele	B
,	O
but	O
RAD	B
54	B
,	O
55	B
and	O
57	B
did	O
not	O
suppress	O
.	O

Between	O
day	O
1	O
and	O
day	O
3	O
in	O
culture	O
,	O
the	O
specific	O
synthetic	O
activities	O
of	O
total	O
proteins	O
and	O
of	O
