Oxytocin	B
stimulates	O
IP3	B
production	O
in	O
dose	O
-	O
dependent	O
fashion	O
as	O
well	O

Signal	O
transduction	O
of	O
arginine	B
vasopressin	I
-	O
induced	O
arachidonic	O
acid	O
release	O
in	O
H9c2	O
cardiac	O
myoblasts	O
:	O
role	O
of	O
Ca2	O
+	O
and	O
the	O
protein	B
kinase	I
C	I
-	O
dependent	O
activation	O
of	O
p42	O
mitogen	O
-	O
activated	O
protein	O
kinase	O

The	O
Ca2	O
+	O
ionophore	O
,	O
A23187	O
or	O
ionomycin	O
,	O
mimicked	O
the	O
effect	O
of	O
AVP	B
,	O
whereas	O
the	O
protein	B
kinase	I
C	I
(	O
PKC	O
)	O
activator	O
,	O
TPA	O
,	O
only	O
induced	O
a	O
slight	O
increase	O
in	O
AA	O
release	O

Western	O
blots	O
demonstrated	O
expression	O
of	O
PKCalpha	O
,	O
betaI	O
,	O
epsilon	O
,	O
delta	O
,	O
and	O
zeta	O
in	O
H9c2	O
cells	O
;	O
PKC	B
inhibitors	O
(	O
staurosporine	O
or	O
Ro	O
31	O
-	O
8220	O
)	O
or	O
down	O
-	O
regulation	O
of	O
PKCalpha	B
,	O
betaI	O
,	O
epsilon	O
,	O
and	O
delta	O
by	O
long	O
-	O
term	O
(	O
24	O
h	O
)	O
TPA	O
treatment	O
caused	O
a	O
partial	O
blockade	O
of	O
the	O
AVP	B
-	O
induced	O
response	O
,	O
whereas	O
the	O
A23187-induced	O
AA	O
release	O
was	O
unaffected	O
by	O
down	O
-	O
regulation	O
of	O
these	O
isoforms	O

AVP-	B
or	O
TPA	O
-	O
induced	O
activation	O
and	O
tyrosine	O
phosphorylation	O
of	O
p42	O
MAPK	O
were	O
completely	O
blocked	O
by	O
down	O
-	O
regulation	O
of	O
PKCalpha	B
,	O
betaI	O
,	O
epsilon	O
,	O
and	O
delta	O
,	O
but	O
still	O
occurred	O
,	O
together	O
with	O
the	O
cytosolic	O
PLA2	O
mobility	O
shift	O
,	O
in	O
the	O
absence	O
of	O
external	O
Ca2	O
+	O

These	O
results	O
show	O
that	O
AVP	B
-	O
induced	O
AA	O
release	O
in	O
H9c2	O
cells	O
is	O
secondary	O
to	O
activation	O
of	O
the	O
V1	O
receptor	O
/	O
Gq	O
protein	O
/	O
PLCP	O
pathway	O
,	O
leading	O
to	O
an	O
influx	O
of	O
extracellular	O
Ca2	O
+	O
and	O
activation	O
of	O
PKCalpha	B
,	O
betaI	O
,	O
epsilon	O
,	O
and	O
delta	O

The	O
second	O
class	O
of	O
mutant	O
,	O
gse	O
(	O
GA	B
sensitivity	O
)	O
,	O
differed	O
principally	O
in	O
GA	B
sensitivity	O
,	O
requiring	O
approximately	O
100-fold	O
higher	O
[	O
GA3	B
]	O
for	O
both	O
leaf	O
elongation	O
and	O
alpha	B
-	I
amylase	I
production	O
by	O
aleurone	O

These	O
results	O
suggest	O
that	O
APP	B
-	I
S	I
secretion	O
and	O
A	B
beta	I
production	O
in	O
NT2N	O
neurons	O
are	O
regulated	O
by	O
the	O
muscarinic	O
/	O
phospholipase	B
C	I
signal	O
transduction	O
pathway	O

Effects	O
of	O
intravenously	O
infused	O
leptin	B
on	O
insulin	O
sensitivity	O
and	O
on	O
the	O
expression	O
of	O
uncoupling	B
proteins	I
in	O
brown	O
adipose	O
tissue	O

Centrally	O
administered	O
leptin	B
has	O
been	O
shown	O
to	O
increase	O
insulin	O
-	O
stimulated	O
glucose	O
utilization	O
and	O
to	O
favor	O
the	O
expression	O
of	O
uncoupling	B
proteins	I
(	O
UCPs	O
)	O

To	O
study	O
if	O
leptin	B
also	O
has	O
direct	O
peripherally	O
mediated	O
effects	O
on	O
these	O
processes	O
,	O
this	O
hormone	O
(	O
1	O
mg	O
/	O
day	O
)	O
or	O
its	O
vehicle	O
was	O
infused	O
i.v	O
.	O
for	O
4	O
days	O
to	O
lean	O
rats	O
and	O
insulin	O
-	O
stimulated	O
glucose	O
utilization	O
in	O
skeletal	O
muscle	O
and	O
adipose	O
tissue	O
as	O
well	O
as	O
the	O
expression	O
of	O
UCP	B
messenger	O
RNAs	O
(	O
mRNAs	O
)	O
in	O
brown	O
adipose	O
tissue	O
were	O
measured	O

I.v	O
.	O
leptin	B
infusion	O
also	O
favored	O
the	O
expression	O
of	O
UCPs	B
in	O
brown	O
adipose	O
tissue	O
,	O
either	O
by	O
increasing	O
their	O
expression	O
or	O
preventing	O
the	O
fall	O
occurring	O
during	O
the	O
pair	O
-	O
feeding	O
regimen	O
.	O

Relative	O
UCP	B
expression	O
levels	O
were	O
100	O
,	O
104	O
,	O
and	O
33	O
for	O
UCP1	B
,	O
100	O
,	O
191	O
,	O
and	O
125	O
for	O
UCP2	B
and	O
100	O
,	O
107	O
,	O
and	O
29	O
for	O
UCP3	B
in	O
ad	O
libitum	O
fed	O
control	O
rats	O
,	O
in	O
leptin	B
-	O
treated	O
rats	O
and	O
in	O
pair	O
-	O
fed	O
control	O
rats	O
,	O
respectively	O

These	O
results	O
suggest	O
that	O
the	O
overall	O
effect	O
of	O
leptin	B
on	O
glucose	O
utilization	O
and	O
on	O
the	O
expression	O
of	O
UCPs	B
may	O
be	O
mediated	O
through	O
central	O
mechanism	O

Our	O
data	O
demonstrate	O
,	O
that	O
activation	O
of	O
mitogen	O
activated	O
protein	O
(	O
MAP	O
)	O
kinase	O
alone	O
is	O
sufficient	O
to	O
promote	O
APP	B
secretion	O
,	O
whereas	O
inhibition	O
of	O
MAP	O
kinase	O
will	O
reduce	O
APP	B
secretion	O
only	O
when	O
phospholipase	B
Cgamma	I
or	O
phosphatidylinositol	O
3-kinase	O
are	O
additionally	O
inhibited	O

The	O
beta	O
amyloid	B
protein	O
fragments	O
had	O
diverse	O
effects	O
on	O
phosphoinositide	O
-	O
specific	O
phospholipase	B
C	I
(	O
PI	O
-	O
PLC	O
)	O
as	O
assayed	O
in	O
rat	O
cortical	O
membranes	O

Possible	O
central	O
nervous	O
system	O
(	O
CNS	O
)	O
mechanisms	O
could	O
mediate	O
these	O
responses	O
in	O
that	O
leptin	O
receptors	O
are	O
located	O
on	O
hypothalamic	O
neurons	O
that	O
coexpress	O
neuropeptide	B
-	I
Y	I
(	O
NPY	O
)	O
or	O
proopiomelanocortin	O
(	O
POMC	O
)	O
and	O
both	O
peptides	O
that	O
have	O
been	O
implicated	O
as	O
mediators	O
of	O
the	O
CNS	O
action	O
of	O
leptin	B
.	O

Leptin	B
has	O
been	O
demonstrated	O
to	O
decrease	O
or	O
down	O
regulate	O
NPY	B
expression	O
and	O
increase	O
POMC	O
expression	O

We	O
have	O
studied	O
the	O
effects	O
of	O
neomycin	O
,	O
a	O
potent	O
inhibitor	O
of	O
inositol	O
phospholipid	O
-	O
specific	O
phospholipase	O
C	O
(	O
PLC	O
)	O
,	O
on	O
the	O
germination	O
of	O
rice	O
seed	O
and	O
the	O
gibberellin	B
-	O
induced	O
expression	O
of	O
alpha	B
-	I
amylase	I
in	O
the	O
aleurone	O
layer	O
and	O
the	O
scutellar	O
tissues	O

It	O
was	O
shown	O
that	O
,	O
in	O
the	O
absence	O
of	O
exogenous	O
Ca2	O
+	O
,	O
neomycin	O
markedly	O
reduced	O
the	O
germination	O
speed	O
and	O
seedling	O
growth	O
of	O
rice	O
seeds	O
and	O
inhibited	O
the	O
gibberellin	B
-	O
induced	O
expression	O
of	O
alpha	B
-	I
amylase	I
in	O
both	O
secretory	O
tissues	O

These	O
results	O
strongly	O
suggest	O
that	O
the	O
phosphoinositide	O
-	O
Ca2	O
+	O
signal	O
transduction	O
pathway	O
may	O
play	O
an	O
important	O
role	O
in	O
the	O
gibberellin	B
-	O
induced	O
expression	O
of	O
alpha	B
-	I
amylase	I
molecules	O
closely	O
related	O
to	O
the	O
germination	O
processes	O
of	O
rice	O
seed	O

In	O
the	O
fasting	O
state	O
UCP-2	B
expression	O
correlated	O
inversely	O
with	O
body	O
mass	O
index	O
(	O
r	O
=	O
-0.45	O
;	O
P	O
=	O
0.026	O
)	O
,	O
percent	O
body	O
fat	O
(	O
r	O
=	O
-0.41	O
;	O
P	O
=	O
0.05	O
)	O
,	O
plasma	O
insulin	O
(	O
r	O
=	O
-0.47	O
;	O
P	O
=	O
