P00027739T0000|6 31|gamma glutamyltransferase
P00027967A0207|13 25|secretory HI
P00027967A0207|23 25|HI
P00027967A0207|23 36|HI antibodies
P00033873T0001|0 36|Gamma glutamyl transpeptidase (GGTP)
P00055040A0000|300 317|plasma fibrinogen
P00056901A0308|19 26|albumin
P00066874T0000|30 47|alpha fetoprotein
P00072928T0000|0 14|Serum-ferritin
P00088391A0181|77 94|factor IX antigen
P00089778A0000|93 130|fibrinogen degradation products (FDP)
P00100540T0000|58 73|cyclo-oxygenase
P00139624A0318|62 75|ceruloplasmin
P00150066A0100|13 23|fibrinogen
P00154430A0906|105 119|1.8 kb HindIII
P00154430A0906|105 125|1.8 kb HindIII-EcoRI
P00154430A0906|105 134|1.8 kb HindIII-EcoRI fragment
P00154430A0906|112 134|HindIII-EcoRI fragment
P00154430A0906|112 125|HindIII-EcoRI
P00154430A0906|120 134|EcoRI fragment
P00209664A0836|39 41|LH
P00227610A1593|37 40|DBP
P00232354A0286|6 10|ACTH
P00261981A0434|20 39|serum somatomedin A
P00261981A0434|26 39|somatomedin A
P00264240A1843|59 61|5S
P00264240A1843|185 204|X. laevis oocyte 5S
P00264240A1843|195 204|oocyte 5S
P00264240A1843|195 208|oocyte 5S DNA
P00264240A1843|202 204|5S
P00264240A1843|202 208|5S DNA
P00304806A0760|22 30|alpha1AT
P00331128A0000|15 31|serum calcitonin
P00331936T0000|50 79|immunoperoxidase antiglobulin
P00336354A0543|22 24|GH
P00377466A0188|22 46|luteinizing hormone (LH)
P00377466A0188|48 82|follicle stimulating hormone (FSH)
P00377466A0188|84 100|prolactin (HPRL)
P00378492A0475|124 129|renin
P00420460A0291|77 82|renin
P00429949A0000|125 134|prolactin
P00429949A0000|125 134|prolactin
P00432615A0541|104 117|gammaglobulin
P00445259T0000|0 14|Serum ferritin
P00453780A0430|23 26|IgA
P00464387A1185|29 38|serum IgE
P00589073A0000|18 34|plasma prolactin
P00593119T0001|49 52|IgE
P00593119T0001|89 108|allergospecific IgE
P00593119T0001|105 108|IgE
P00593119T0001|105 119|IgE antibodies
P00594617A0192|67 73|fibrin
P00637637T0000|31 43|plasma renin
P00668122A0414|121 145|liver ferritin molecules
P00668122A0414|121 135|liver ferritin
P00668122A0414|127 145|ferritin molecules
P00696858A0000|35 43|secretin
P00715753A0241|36 50|myocardial CPK
P00716366T0001|26 46|alkaline phosphatase
P00748978T0000|6 13|relaxin
P00780639X0000|0 30|Carcinoembryonic antigen (CEA)
P00792847A0000|25 54|antilymphocyte globulin (ALG)
P00866577A0579|24 46|plasminogen activators
P00877857A0763|6 13|amylase
P00898500A0246|171 174|IgE
P00918556A0000|18 53|hepatitis B surface antigen (HBsAg)
P00956554A0414|112 115|IgE
P00984209A0614|0 13|Serum gastrin
P00984209A0614|73 86|serum gastrin
P00985279A0493|17 27|hemoglobin
P00989973A0000|27 37|fibrinogen
P01000378T0000|27 35|glucagon
P01021091T0000|89 140|2--phenylalanine-8-lysine vasopressin (Octapressin)
P01021091T0000|115 140|vasopressin (Octapressin)
P01078982A0227|81 110|antilymphocyte globulin (ALG)
P01083784T0000|33 36|IgE
P01150658A0683|53 72|luteinizing hormone
P01158512T0000|0 42|Glucose-6-phosphate dehydrogenase (G-6-PD)
P01171935A0313|157 174|dopamine receptor
P01191964A0000|303 321|serum thyrotrophin
P01224116A0576|48 63|immunoglobulins
P01228882A0437|76 91|immunoglobulins
P01243628A0286|56 86|blood carboxyhemoglobin (COHb)
P01243628A0286|62 79|carboxyhemoglobin
P01243628A0286|62 86|carboxyhemoglobin (COHb)
P01256410T0001|20 38|factor II molecule
P01279352A1197|20 25|NF(H)
P01279352A1197|158 176|beta-galactosidase
P01279352A1197|158 185|beta-galactosidase reporter
P01280807A0575|23 32|MetRS/CAU
P01280807A0575|23 41|MetRS/CAU operator
P01280807A0575|97 106|ThrRS/CGU
P01280807A0575|97 115|ThrRS/CGU operator
P01281472T0000|7 33|skeletal muscle glycogenin
P01281472T0000|16 33|muscle glycogenin
P01281472T0000|23 33|glycogenin
P01281771T0000|30 58|gene encoding cytokeratin 17
P01281771T0000|44 58|cytokeratin 17
P01285009A0000|30 61|human growth hormone (hGH) gene
P01285009A0000|30 56|human growth hormone (hGH)
P01285009A0000|36 50|growth hormone
P01285009A0000|36 56|growth hormone (hGH)
P01285009A0000|36 61|growth hormone (hGH) gene
P01285009A0000|51 61|(hGH) gene
P01285009A0000|104 131|mouse metallothionein (mMT)
P01285009A0000|110 125|metallothionein
P01285009A0000|110 131|metallothionein (mMT)
P01285009A0000|133 161|viral thymidine kinase (vTK)
P01285009A0000|139 155|thymidine kinase
P01285009A0000|139 161|thymidine kinase (vTK)
P01285009A0000|163 189|rat cholecystokinin (rCCK)
P01285009A0000|167 189|cholecystokinin (rCCK)
P01285009A0000|167 182|cholecystokinin
P01285009A0000|194 218|chicken beta-actin (cBA)
P01285009A0000|194 223|chicken beta-actin (cBA) gene
P01285009A0000|202 212|beta-actin
P01285009A0000|202 223|beta-actin (cBA) gene
P01285009A0000|202 218|beta-actin (cBA)
P01285009A0000|213 223|(cBA) gene
P01285358A0396|0 13|Serum gastrin
P01297332A0983|81 87|SWI4,6
P01301171A0979|46 51|c-myc
P01309587A0715|35 40|BMRF1
P01309587A0715|57 64|Z/c-myb
P01309587A0715|57 58|Z
P01309587A0715|59 64|c-myb
