P00055040A0000|181 183|FR
P00088391A0181|84 86|IX
P00089778A0000|50 51|1
P00089778A0000|78 80|C3
P00089778A0000|126 129|FDP
P00155973A0387|231 232|1
P00155973A0387|236 238|-1
P00155973A0387|283 284|1
P00155973A0387|288 290|-1
P00193088A0196|37 38|g
P00227393T0000|81 82|P
P00264240A1843|137 138|T
P00456424A0000|77 79|-1
P00465681A0000|192 193|6
P00476572A0139|146 147|2
P00484177A0242|76 77|2
P00484177A0242|90 92|CT
P00484177A0242|117 119|VT
P00541752A1032|156 158|SD
P00565136T0000|85 86|2
P00665053A0276|52 55|K13
P00665053A0276|57 59|H1
P00715753A0241|15 17|MB
P00715753A0241|123 124|5
P00715753A0241|138 140|CK
P00715753A0241|141 143|MB
P00722298A0619|160 163|rho
P00733067A0188|138 139|2
P00733067A0188|207 208|3
P00747722A0486|68 69|1
P00753237A0000|3 4|A
P00753237A0000|142 145|fig
P00753237A0000|147 149|-1
P00753237A0000|152 153|5
P00753237A0000|156 157|B
P00753237A0000|255 256|1
P00753237A0000|259 260|C
P00753237A0000|377 378|D
P00753237A0000|568 571|fig
P00753237A0000|578 579|3
P00806295A0193|75 78|per
P00830568A0000|190 192|BI
P00830568A0000|221 224|STG
P00830568A0000|225 228|BII
P00830568A0000|289 290|P
P00837811A0675|15 17|MS
P00838152A0863|82 83|C
P00868301A0043|67 69|-1
P01113908A0475|60 61|1
P01116466A0185|139 141|IX
P01138330A0204|63 64|N
P01138330A0204|90 91|1
P01279352A0297|33 35|10
P01280807A0575|97 102|ThrRS
P01285807A0365|106 107|P
P01285807A0365|180 181|P
P01309815A0972|18 20|-1
P01309815A0972|151 154|AEP
P01310879A0000|62 65|HAT
P01324404A1208|115 117|IV
P01325221A0870|89 99|MBP kinase
P01325221A0870|127 130|MAP
P01328197A0985|53 56|MAP
P01328197A0985|107 110|ras
P01331501A0397|123 127|p107
P01331501A0397|136 137|A
P01331501A0397|143 147|p130
P01339468A0272|94 98|ORF2
P01348504A0757|47 50|act
P01372456A0426|19 20|h
P01372456A0426|27 29|TA
P01372456A0426|68 70|12
P01372456A0426|71 72|h
P01372456A0426|89 90|h
P01372456A0426|103 106|die
P01373374A0735|87 91|GBF3
P01374392A0341|60 65|NHE-1
P01374392A0341|70 75|NHE-2
P01380062A0097|24 25|H
P01380062A0097|51 52|T
P01380062A0097|65 68|CTL
P01380062A0097|112 115|CTL
P01380062A0097|123 126|Y-1
P01380062A0097|128 131|Y-2
P01380062A0097|133 136|Y-3
P01383695A0100|33 36|E29
P01395755A1023|222 223|p
P01395755A1023|294 295|p
P01396601A0986|41 42|p
P01396601A0986|47 48|1
P01396601A0986|48 49|p
P01396601A0986|57 58|2
P01396601A0986|58 59|p
P01398106A0754|63 64|1
P01398106A0754|68 69|3
P01398106A0754|108 109|3
P01398106A0754|219 220|3
P01400775A0435|75 76|N
P01406630A0965|15 18|p50
P01406630A0965|23 26|p65
P01406630A0965|42 43|B
P01406630A0965|189 190|B
P01406703A1435|71 72|H
