P00030183T0000|37 43|HLA-B5
P00052597T0000|11 27|immunoglobulin E
P00052597T0000|33 39|impact
P00052597T0000|43 44|a
P00052597T0000|68 71|Dan
P00054900A0226|42 64|chloroacetate esterase
P00055040A0000|133 143|fibrinogen
P00055040A0000|145 151|fibrin
P00055040A0000|181 191|FR-antigen
P00055040A0000|193 195|in
P00055040A0000|277 289|cryoglobulin
P00055040A0000|300 317|plasma fibrinogen
P00060529A0695|113 114|a
P00060529A0695|165 167|in
P00083846T0000|30 32|in
P00083846T0000|51 53|in
P00088391A0181|50 52|in
P00088391A0181|77 94|factor IX antigen
P00089778A0000|21 42|alpha 2-macroglobulin
P00089778A0000|44 63|alpha 1-antitrypsin
P00089778A0000|65 76|plasminogen
P00089778A0000|78 91|C3-complement
P00089778A0000|93 130|fibrinogen degradation products (FDP)
P00089778A0000|171 173|in
P00089778A0000|308 310|in
P00094639A0313|62 63|a
P00114144A0189|159 161|IV
P00115974A0576|26 27|a
P00139827A0000|140 141|a
P00146327A0147|103 105|in
P00154430A0906|103 104|a
P00154430A0906|105 134|1.8 kb HindIII-EcoRI fragment
P00209664A0836|72 74|in
P00219674A0000|75 77|in
P00221136A0984|39 41|in
P00221136A0984|42 43|a
P00221725A0523|31 49|cytochrome oxidase
P00221725A0523|51 61|peroxidase
P00221725A0523|66 68|in
P00221725A0523|129 130|a
P00221725A0523|140 142|in
P00222827A0000|74 76|in
P00225352T0000|67 69|D3
P00225352T0000|95 98|rat
P00225352T0000|105 107|in
P00227393T0000|68 69|a
P00227393T0000|70 100|cytochrome P-450 monooxygenase
P00232354A0286|30 37|insulin
P00264240A1843|82 84|in
P00264240A1843|137 138|T
P00264240A1843|185 208|X. laevis oocyte 5S DNA
P00342623A0228|55 69|type B antigen
P00386251A0899|123 125|in
P00429151T0000|79 83|area
P00431832T0001|50 63|beta receptor
P00431832T0001|100 102|in
P00432615A0541|97 117|bovine gammaglobulin
P00453780A0430|181 184|IgA
P00456424A0000|175 177|in
P00463973A0000|81 83|in
P00463973A0000|159 161|in
P00465223A0373|70 75|delta
P00465223A0373|76 78|PU
P00465223A0373|83 88|delta
P00465681A0000|10 20|hemoglobin
P00465681A0000|80 82|in
P00465681A0000|102 107|white
P00465681A0000|150 153|atm
P00465681A0000|194 197|atm
P00483716A0366|11 12|a
P00483716A0366|103 106|end
P00483716A0366|110 113|end
P00484177A0242|79 80|a
P00484177A0242|90 92|CT
P00553858A0000|189 191|in
P00564032A0724|91 93|in
P00594466T0001|75 77|in
P00597715A0256|177 178|a
P00601401A0181|49 50|a
P00601401A0181|80 81|a
P00601401A0181|117 122|delta
P00601401A0181|127 130|Po2
P00601401A0181|131 136|delta
P00601401A0181|137 139|pH
P00602702A0309|62 64|in
P00627129A0944|195 223|alpha-and beta-adrenoceptors
P00665053A0276|47 48|a
P00665053A0276|57 59|H1
P00665053A0276|75 77|in
P00665053A0276|78 79|a
P00715180T0074|96 99|rat
P00715753A0241|12 17|CK-MB
P00715753A0241|36 50|myocardial CPK
P00715753A0241|64 73|total-CPK
P00715753A0241|138 143|CK-MB
P00722298A0619|160 163|rho
P00725534A0888|165 168|IgA
P00725534A0888|236 238|in
P00733067A0188|62 67|steps
P00733067A0188|226 227|a
P00747722A0486|47 49|B1
P00747722A0486|104 105|a
P00747722A0486|144 147|sec
P00753237A0000|3 4|A
P00753237A0000|57 61|ends
P00753237A0000|77 81|arcs
P00753237A0000|209 210|a
