Evaluation corpus,Tagger,Name of output file/folder,Annotated Classes,Precision,Recall,Total Precision,Total Recall,Runtime (seconds),Date (YYYYMMDD)
biobert_bc5cdr_chem,NER_biobert-BC5CDRChem_Antton_1,NER_result_conll.txt,Chemical,93.64%,93.76%,93.64%,93.76%,766.957,20200430
biobert_JNLPBA,NER_biobert-JNLPBA_Antton_1,NER_result_conll.txt,Protein,70.81%,83.03%,70.81%,83.03%,78.7231,20200430
biobert_bc2gm,NER_biobert-JNLPBA_Antton_1,,Protein,51.01%,65.71%,51.01%,65.71%,889.2406,20200519
biobert_NCBI_disease,NER_biobert-NCBIdisease_Antton_1,NER_result_conll.txt,Disease,86.58%,89.38%,86.58%,89.38%,182.4588,20200430
biobert_bc5cdr_disease,NER_biobert-NCBIdisease_Antton_1,,Disease,68.94%,67.59%,68.94%,67.59%,812.1249,20200518
gold_standard,NER_biobert-BC5CDRChem_Antton_1,,Chemical,0.00%,0.00%,0.00%,0.00%,45.9471,20200501
biobert_NCBI_disease,NER_biobert-WilliamDict_Antton_1,,Disease,63.32%,43.33%,63.32%,43.33%,72.4806,20200609
gold_sandard,NER_biobert-JNLPBA_Antton_1,gold_JNLPBA_results_pubanot/,Protein,17%,18%,17%,18%,,20200520
gold_standard,NER_biobert-NCBIdisease_Antton_1,gold_NCBId_results_pubanot/,Disease,31%,35%,31%,35%,,20200520
gold_standard,NER_biobert-WilliamDict_Antton_1,,Disease,26%,30%,26%,30%,,20200522
gold_standard,NER_biobert-WilliamNCBIdisease_Antton_1,,Disease,33%,28%,33%,28%,,20200523
gold_standard,NER_biobert-AnnieSofiDict_Antton_1,,Symptom,31%,14%,31%,14%,,20200610
