Corpus,Model,Name of output file/folder,f1 score,recall,precision,specificity,Runtime (seconds),Colab GPU RAM (GB),Date (YYYYMMDD)
GAD/1,RE_BioBERT_GAD_1,GAD_1_model-5epochs,82.75%,87.90%,78.16%,72.73%,383,15.64,20200514
GAD/2,RE_BioBERT_GAD_2,GAD_2_model-5epochs,82.75%,88.21%,77.92%,72.33%,380,15.64,20200514
GAD/3,RE_BioBERT_GAD_3,GAD_3_model-5epochs,81.75%,83.21%,80.34%,77.47%,391,15.64,20200514
GAD/4,RE_BioBERT_GAD_4,GAD_4_model-5epochs,84.30%,88.21%,80.72%,76.68%,380,15.64,20200514
GAD/5,RE_BioBERT_GAD_5,GAD_5_model-5epochs,77.68%,78.93%,76.47%,73.12%,380,15.64,20200514
GAD/6,RE_BioBERT_GAD_6,GAD_6_model-5epochs,79.37%,81.07%,77.74%,74.31%,382,15.64,20200514
GAD/7,RE_BioBERT_GAD_7,GAD_7_model-5epochs,75.27%,73.93%,76.67%,75.10%,386,15.64,20200514
GAD/8,RE_BioBERT_GAD_8,GAD_8_model-5epochs,82.43%,87.14%,78.21%,73.12%,381,15.64,20200514
GAD/9,RE_BioBERT_GAD_9,GAD_9_model-5epochs,80.47%,85.36%,76.11%,70.36%,389,15.64,20200514
GAD/10,RE_BioBERT_GAD_10,GAD_10_model-5epochs,76.45%,80.00%,73.20%,67.46%,379,15.64,20200514
euadr/1,RE_BioBERT_euadr_1,euadr_1_model-5epochs,81.97%,92.59%,73.53%,10.00%,120,11.32,20200518
euadr/2,RE_BioBERT_euadr_2,euadr_2_model-5epochs,74.51%,70.37%,79.17%,50.00%,118,11.32,20200518
euadr/3,RE_BioBERT_euadr_3,euadr_3_model-5epochs,84.21%,92.31%,77.42%,30.00%,121,11.32,20200518
euadr/4,RE_BioBERT_euadr_4,euadr_4_model-5epochs,83.33%,96.15%,73.53%,0.00%,123,11.32,20200518
euadr/5,RE_BioBERT_euadr_5,euadr_5_model-5epochs,81.82%,69.23%,100.00%,100.00%,120,11.32,20200518
euadr/6,RE_BioBERT_euadr_6,euadr_6_model-5epochs,80.00%,84.52%,75.86%,22.22%,117,11.32,20200518
euadr/7,RE_BioBERT_euadr_7,euadr_7_model-5epochs,72.34%,65.38%,80.95%,55.56%,120,11.32,20200518
euadr/8,RE_BioBERT_euadr_8,euadr_8_model-5epochs,71.70%,73.08%,70.37%,11.11%,120,11.32,20200518
euadr/9,RE_BioBERT_euadr_9,euadr_9_model-5epochs,79.31%,88.46%,71.88%,0.00%,124,11.32,20200518
euadr/10,RE_BioBERT_euadr_10,euadr_10_model-5epochs,89.66%,100.00%,81.35%,33.33%,118,11.32,20200518
euadr/1,RE_BioBERT_GAD_1,,77.19%,81.48%,73.33%,20.00%,,,20200521
euadr/2,RE_BioBERT_GAD_1,,84.37%,100.00%,72.97%,0.00%,,,20200521
euadr/3,RE_BioBERT_GAD_1,,83.87%,100.00%,72.22%,0.00%,,,20200521
euadr/1,RE_BioBERT_GAD_2,,66.67%,55.56%,83.33%,70.00%,,,20200521
euadr/2,RE_BioBERT_GAD_2,,84.37%,100.00%,72.97%,0.00%,,,20200521
euadr/3,RE_BioBERT_GAD_2,,48.78%,100.00%,72.22%,0.00%,,,20200521
euadr/1,RE_BioBERT_GAD_3,,80.00%,88.89%,72.73%,10.00%,,,20200521
euadr/2,RE_BioBERT_GAD_3,,67.92%,66.67%,69.23%,20.00%,,,20200521
euadr/3,RE_BioBERT_GAD_3,,86.21%,96.15%,78.12%,30.00%,,,20200521
GAD/1,RE_BioBERT_euadr_1,,0.00%,0.00%,0.00%,100.00%,,,20200521
GAD/2,RE_BioBERT_euadr_1,,3.45%,1.79%,50.00%,98.02%,,,20200521
GAD/3,RE_BioBERT_euadr_1,,68.88%,100.00%,52.53%,0.00%,,,20200521
GAD/1,RE_BioBERT_euadr_2,,66.41%,91.10%,52.24%,7.51%,,,20200521
GAD/2,RE_BioBERT_euadr_2,,8.47%,4.64%,48.15%,94.47%,,,20200521
GAD/3,RE_BioBERT_euadr_2,,0.00%,0.00%,0.00%,100.00%,,,20200521
GAD/1,RE_BioBERT_euadr_3,,68.96%,100.00%,52.62%,0.00%,,,20200521
GAD/2,RE_BioBERT_euadr_3,,0.00%,0.00%,0.00%,100.00%,,,20200521
GAD/3,RE_BioBERT_euadr_3,,0.00%,0.00%,0.00%,100.00%,,,20200521
