Source	Subset Code	Subset Name	Concept Code	Source PT	Source Synonyms(s)	Source Definition
FDA	C133240	SPL Blood Form Donor Type Terminology	C133267	Allogeneic		
FDA	C133240	SPL Blood Form Donor Type Terminology	C133268	Autologous		
FDA	C133240	SPL Blood Form Donor Type Terminology	C133269	Dedicated		
FDA	C133240	SPL Blood Form Donor Type Terminology	C133270	Designated		
FDA	C133240	SPL Blood Form Donor Type Terminology	C133272	Directed		
FDA	C133241	SPL Blood Form Establishment Functions Terminology	C113077	Test		
FDA	C133241	SPL Blood Form Establishment Functions Terminology	C133275	Irradiated		
FDA	C133241	SPL Blood Form Establishment Functions Terminology	C133276	Leukocytes Reduced		
FDA	C133241	SPL Blood Form Establishment Functions Terminology	C133279	Pooled		
FDA	C133241	SPL Blood Form Establishment Functions Terminology	C133282	Pathogen Reduced		
FDA	C133241	SPL Blood Form Establishment Functions Terminology	C133292	Store and Distribute to Others		
FDA	C133241	SPL Blood Form Establishment Functions Terminology	C133293	Prepare		
FDA	C133241	SPL Blood Form Establishment Functions Terminology	C133294	Collect		
FDA	C133241	SPL Blood Form Establishment Functions Terminology	C133327	Bacterial Testing		
FDA	C133241	SPL Blood Form Establishment Functions Terminology	C133332	Donor Retested		
FDA	C133241	SPL Blood Form Establishment Functions Terminology	C133333	Automated Apheresis		
FDA	C133241	SPL Blood Form Establishment Functions Terminology	C133334	Manual Apheresis		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133264	Hospital Blood Bank		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133265	Community (Non-Hospital) Blood Bank		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133299	Manufacturer of Licensed Device		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133300	Broker/Warehouse		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133301	Collection Facility		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133302	Component Preparation Facility		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133303	Distribution Center		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133304	Irradiation Facility		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133305	Hospital Transfusion Service - Approved Medicare		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133306	Hospital Transfusion Service - Not Approved Medicare		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133325	Plasmapheresis Center		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133330	Product Testing Laboratory - Associated with Community or Hospital Blood Bank		
FDA	C133242	SPL Blood Form Establishment Type Terminology	C133331	Product Testing Laboratory - Independent		
FDA	C133243	SPL Blood Form Product Type Terminology	C133260	Cryoprecipitated AHF		
FDA	C133243	SPL Blood Form Product Type Terminology	C133266	Plasma		
FDA	C133243	SPL Blood Form Product Type Terminology	C133271	Blood Products for Diagnostic Use		
FDA	C133243	SPL Blood Form Product Type Terminology	C133273	Granulocytes		
FDA	C133243	SPL Blood Form Product Type Terminology	C133277	Other		
FDA	C133243	SPL Blood Form Product Type Terminology	C133278	Platelets		
FDA	C133243	SPL Blood Form Product Type Terminology	C133280	Red Blood Cells		
FDA	C133243	SPL Blood Form Product Type Terminology	C133281	Source Leukocytes		
FDA	C133243	SPL Blood Form Product Type Terminology	C133335	Blood Bank Reagents		
