17651117	Inhibition of platelet receptors involved in neutrophil-platelet interaction in model cardiopulmonary bypass.	We investigated the interactions between neutrophils, platelets, and artificial surfaces, and whether blocking of relevant receptors on platelets reduced unwanted activation responses in model cardiopulmonary bypass. Isolated neutrophils and platelets resuspended in heparin-anticoagulated plasma were recirculated with and without blocking antibodies to CD62P, CD42b, or junctional adhesion molecule C (JAM-C) in polyvinyl chloride tubing using a roller pump. Platelet adhesion to the tubing was inhibited by anti-CD42b and anti-CD62P, and adhesion of neutrophils by anti-JAM-C. Formation of platelet-neutrophil and platelet aggregates was reduced by anti-CD62P. Anti-JAM-C decreased platelet-neutrophil aggregation at low concentrations and platelet macroaggregates at high concentrations. Anti-CD62P increased neutrophil CD11b expression but not degranulation. Anti-JAM-C substantially increased neutrophil degranulation and slightly increased CD11b expression. Platelet activation increased when CD62P was blocked and decreased with anti-CD42b antibody. High-dose anti-JAM-C reduced platelet activation. In conclusion, inhibiting platelet and neutrophil-platelet interactions had useful effects but no single blocking antibody seemed capable of inducing only beneficial effects.
16324695	Protein kinase C potentiates homologous desensitization of the beta2-adrenoceptor in bovine tracheal smooth muscle.	Preincubation (30 min) of bovine tracheal smooth muscle with various concentrations (0.1, 1 and 10 microM) of fenoterol decreased isoprenaline-induced maximal relaxation (E(max)) of methacholine-contracted preparations in a concentration dependent fashion, indicating desensitization of the beta(2)-adrenoceptor. Preincubation with 1 microM of the protein kinase C (PKC) activator phorbol 12-myristate 13-acetate (PMA) caused a small but significant decrease in isoprenaline-induced E(max), indicating activated PKC-mediated heterologous beta(2)-adrenoceptor desensitization. To investigate the capacity of activated PKC to regulate homologous desensitization, we incubated the smooth muscle strips with the combination of both 1 microM PMA and 1 microM fenoterol. This combined treatment synergistically decreased the isoprenaline-induced maximal relaxation, as compared to the individual effects of PMA and fenoterol alone, indicating a common pathway for heterologous and homologous desensitization. Moreover, the specific PKC-inhibitor 2-[1-(3-dimethylaminopropyl)-1H-indol-3-yl]-3-(1H-indol-3-yl) maleimide (GF 109203X) markedly increased the potency and E(max) of isoprenaline for all conditions used, including control conditions, and the synergistic effects of PMA and fenoterol were completely prevented. In conclusion, the present study demonstrates that homologous desensitization of the beta(2)-adrenergic receptor can be enhanced by PKC activation. For the first time we have provided evidence that this concept is functionally operative in airway smooth muscle, and it may explain the reduced bronchodilator response to beta(2)-adrenoceptor agonists in patients with asthma during a severe exacerbation.
12901032	Interaction of rofecoxib and celecoxib with warfarin.	The interaction of celecoxib and rofecoxib with warfarin was studied. Patients stable on warfarin therapy and concurrently taking a cyclooxygenase-2 (COX-2) inhibitor comparator (traditional nonsteroidal antiinflammatory medications, salsalate, or acetaminophen) randomly received celecoxib 200 mg/day or rofecoxib 25 mg/day for three weeks. After a one-week washout period, the patients were crossed over to treatment with the opposite COX-2 inhibitor for three more weeks. The International Normalized Ratio (INR) was measured at baseline and at weeks 1, 2, and 3 of therapy with each COX-2 inhibitor by testing blood samples obtained by finger stick. Data for 16 patients were analyzed. The INR increased by 13%, 6%, and 5% on average in patients taking celecoxib at weeks 1, 2, and 3, respectively, and by 5%, 9%, and 5% in patients taking rofecoxib. Changes in the INR were statistically significant at week 1 for celecoxib and at week 2 for rofecoxib. Of the 12 subjects who had a clinically significant > or = 15% change in the INR while receiving either COX-2 inhibitor, 4 showed this change for both agents. Adverse drug reactions were similar for each COX-2 inhibitor, but the rate of edema requiring medical intervention was higher in the rofecoxib group. Significant increases in the INR were observed in patients who were stable on warfarin therapy after the addition of therapy with rofecoxib or celecoxib.
19372559	Chromatin-associated proteins HMGB1/2 and PDIA3 trigger cellular response to chemotherapy-induced DNA damage.	The identification of new molecular components of the DNA damage signaling cascade opens novel avenues to enhance the efficacy of chemotherapeutic drugs. High-mobility group protein 1 (HMGB1) is a DNA damage sensor responsive to the incorporation of nonnatural nucleosides into DNA; several nuclear and cytosolic proteins are functionally integrated with HMGB1 in the context of DNA damage response. The functional role of HMGB1 and HMGB1-associated proteins (high-mobility group protein B2, HMGB2; glyceraldehyde-3-phosphate dehydrogenase, GAPDH; protein disulfide isomerase family A member 3, PDIA3; and heat shock 70 kDa protein 8, HSPA8) in DNA damage response was assessed in human carcinoma cells A549 and UO31 by transient knockdown with short interfering RNAs. Using the cell proliferation assay, we found that knockdown of HMGB1-associated proteins resulted in 8-fold to 50-fold decreased chemosensitivity of A549 cells to cytarabine. Western blot analysis and immunofluorescent microscopy were used to evaluate genotoxic stress markers in knocked-down cancer cells after 24 to 72 hours of incubation with 1 micromol/L of cytarabine. Our results dissect the roles of HMGB1-associated proteins in DNA damage response: HMGB1 and HMGB2 facilitate p53 phosphorylation after exposure to genotoxic stress, and PDIA3 has been found essential for H2AX phosphorylation (no gamma-H2AX accumulated after 24-72 hours of incubation with 1 micromol/L of cytarabine in PDIA3 knockdown cells). We conclude that phosphorylation of p53 and phosphorylation of H2AX occur in two distinct branches of the DNA damage response. These findings identify new molecular components of the DNA damage signaling cascade and provide novel promising targets for chemotherapeutic intervention.
10727715	The role of 5-HT(1A) and 5-HT(1B/1D) receptors on the modulation of acute fluoxetine-induced changes in extracellular 5-HT: the mechanism of action of (+/-)pindolol.	Some clinical evidence has suggested that (+/-)pindolol can be effective at producing a shortened time to onset of antidepressant activity when co-administered with a serotonin specific reuptake inhibitor (SSRI). This effect has been attributed to the antagonist effects of pindolol at the 5-HT(1A) receptor. In the present study, we compared the pharmacology of (+/-)pindolol, WAY-100635 (a 5-HT(1A) antagonist), GR127935 (a 5-HT(1B/1D) antagonist), and isamoltane (a 5-HT(1B) antagonist), when given acutely in combination with fluoxetine, using in vivo microdialysis in the frontal cortex of the freely moving rat. We have determined that the acute fluoxetine-induced increases in extracellular 5-HT can be augmented by (+/-)pindolol, WAY100635, GR127935 and isamoltane with maximum increases of 216+/-32%, 235+/-49%, 240+/-18% and 171+/-47% of preinjection control levels, respectively. Combination of both 5-HT(1A) and 5-HT(1B/1D) autoreceptor antagonists with fluoxetine produced additive increases in extracellular 5-HT (i.e. WAY100635+GR127935+fluoxetine and WAY100635+isamoltane+fluoxetine produced a four- and five-fold potentiation, respectively), suggesting that this strategy may be useful in further augmenting the action of a SSRI in the treatment of depression. In addition, by comparing the combined administration of (+/-)pindolol with either WAY100635, GR127935 or isamoltane, we have determined that (+/-)pindolol produces much of its acute potentiation of fluoxetine-induced increases in extracellular 5-HT via its action at the 5-HT(1B/D) receptor in addition to any activity it has at the presynaptic 5-HT(1A) receptor.
9890894	Common and specific determinants for fibroblast growth factors in the ectodomain of the receptor kinase complex.	The assembly and activation of oligomeric complexes of FGF, the transmembrane receptor kinase (FGFR), and heparan sulfate transmit intracellular signals regulating growth and function of cells. An understanding of the structural relationships between the three subunits and their redundancy and specificity is essential for understanding the ubiquitous FGF signaling system in health and disease. Previously, we reported that a primary heparin or heparan sulfate binding site resides in a distinct sequence in immunoglobulin (Ig)-like module II of the three modules of FGFR. Here we report that in the absence of flanking sequences, isolated Ig module II of FGFR1 supports the binding of FGF-1, FGF-2, and FGF-7 in respective order of affinity. None of the three FGFs detectably bind Ig module I or the IIIb and IIIc splice variants of Ig module III in the absence of flanking sequences. Ig module I and the C-terminus of Ig module III are dispensable for high-affinity binding of FGF-1, FGF-2, and FGF-7. Alterations in highly conserved Ig module II in the heparin binding domain and substitution of individual sequence domains spanning the entire sequence of Ig module II with those from Ig module I obliterated FGF binding. Addition of a specific number of FGFR sequences to the C-terminus of Ig module II resulted in a gain in affinity for FGF-7. Several site-specific alterations in the C-terminus of full-length FGFR1IIIc, an isoform that otherwise absolutely rejects FGF-7, resulted in gain of FGF-7 binding. These results suggest that a complex of Ig module II and heparan sulfate is the base common active core of the FGFR ectodomain and that flanking structural domains modify FGF affinity and determine specificity.
23298863	Pharmacokinetic and pharmacodynamic modeling of hedgehog inhibitor TAK-441 for the inhibition of Gli1 messenger RNA expression and antitumor efficacy in xenografted tumor model mice.	6-Ethyl-N-[1-(hydroxyacetyl)piperidin-4-yl]-1-methyl-4-oxo-5-(2-oxo-2-phenylethyl)-3-(2,2,2-trifluoroethoxy)-4,5-dihydro-1H-pyrrolo[3,2-c]pyridine-2-carboxamide (TAK-441) is a potent, selective hedgehog signaling pathway inhibitor that binds to Smo and is being developed for the treatment of cancer. The objectives of these studies were to explore the possibility of establishing of a link between the pharmacokinetics of TAK-441 and the responses of Gli1 mRNA in tumor-associated stromal or skin cells and the antitumor effect of hedgehog inhibition. To this end, we built pharmacokinetic and pharmacodynamic models that describe the relationship of the concentrations of TAK-441 plasma to the responses of Gli1 mRNA in the tumor (target) and skin (surrogate) and to tumor growth inhibition in mice bearing xenografts of human pancreatic tumors (PAN-04). The responses of Gli1 mRNA and tumor growth were described by an indirect response model and an exponential tumor growth model, respectively. The IC50 values for Gli1 mRNA inhibition in the tumor and skin by TAK-441 were estimated to be 0.0457 and 0.113 μg/ml, respectively. The IC90 value for tumor growth inhibition was estimated to be 0.68 μg/ml. These results suggest that a >83% inhibition of Gli1 mRNA expression in the skin or a >94% inhibition of Gli1 mRNA expression in the tumor would be required to sufficiently inhibit (>90%) hedgehog-related tumor growth in the xenografted model mice. We conclude that Gli1 mRNA expression in the tumor and skin could be a useful biomarker for predicting the antitumor effect of hedgehog inhibitors.
23142699	Proto-oncogene PIM-1 is a novel estrogen receptor target associating with high grade breast tumors.	We searched ERα cistromes of MCF-7 breast cancer cells for previously unrecognized ERα targets and identified proto-oncogene PIM-1 as a novel potential target gene. We show that the expression of PIM-1 is induced in response to estradiol in MCF-7 cells and that the induction is mediated by ERα-regulated enhancers located distally upstream from the gene. In keeping with the growth-promoting role of the PIM-1, depletion of the PIM-1 attenuated the proliferation of the MCF-7 cells, which was paralleled with up-regulation of cyclin-dependent protein kinase inhibitor CDKN1A and CDKN2B expression. Analysis of PIM-1 expression between invasive breast tumors and benign breast tissue samples showed that elevated PIM-1 expression is associated with malignancy and a higher tumor grade. In sum, identification of PIM-1 as an ERα target gene adds a novel potential mechanism by which estrogens can contribute to breast cancer cell proliferation and carcinogenesis.
2568748	Nonthrombolytic intervention in acute myocardial infarction.	Alternative interventions are available for patients in whom thrombolytic therapy is inappropriate after an acute myocardial infarction. Administration of a beta blocker within the first 24 hours of the patient's admission to the coronary care unit can reduce overall morbidity and mortality within the first 7 days by about 15%. Maintenance therapy with an oral beta blocker can reduce mortality within the succeeding 3 years by about 25%. Esmolol, a unique cardioselective beta 1-adrenergic receptor blocker with a half-life of 9 minutes, can enable some patients with relative contraindications to beta blockers to nevertheless benefit from early beta-blocking therapy. It also is useful in screening patients for subsequent therapy with beta blockers. Those who tolerate the esmolol infusion can be given a long-acting beta blocker. For patients who exhibit intolerance to esmolol, the infusion can be terminated with rapid return to baseline hemodynamics.
8142113	Adapalene, a new chemical entity with retinoid activity.	Adapalene is a novel chemical entity which, in terms of pharmacology, behaves similar to tretinoin, but is chemically and photochemically stable. It has a particular selectivity profile for the known nuclear retinoic acid receptors with low affinity for RAR alpha and no transactivating potential for RXR alpha. This receptor profile could imply that adapalene, in contrast to tretinoin, affects the terminal differentiation pathway of epidermal cells rather than their proliferation. Furthermore, adapalene does not bind to members of the cellular retinoic acid binding protein family. Adapalene has comedolytic activity in the topical rhino mouse model. It exerts a moderate-to-potent anti-inflammatory effect in a series of in vitro and in vivo models. In comparative clinical studies involving 72 acne patients, the efficacy of adapalene was comparable, if not superior, to tretinoin, but adapalene was better tolerated. The data reviewed in this paper indicate that adapalene should be particularly beneficial in the treatment of acne.
