10064839	Binding of dimemorfan to sigma-1 receptor and its anticonvulsant and locomotor effects in mice, compared with dextromethorphan and dextrorphan.	Dextromethorphan ((+)-3-methoxy-N-methylmorphinan, DM) has been shown to have both anticonvulsant and neuroprotective effects. The mechanisms of these CNS effects of DM have been suggested to be associated with the low-affinity, noncompetitive, N-methyl-d-aspartate (NMDA) antagonism of DM and/or the high-affinity DM/sigma receptors. DM is largely O-demethylated into the phencyclidine (PCP)-like compound dextrorphan (DR), which may limit its therapeutic use by producing PCP-like adverse effects, such as hyperlocomotion. Dimemorfan ((+)-3-methyl-N-methylmorphinan, DF), an analog of DM, which has been safely used as an antitussive for more than 20 years, is also known not to form DR. This study therefore characterized the binding of DF to the sigma receptors and NMDA-linked PCP sites and examined the anticonvulsant as well as locomotor effects of DF in mice in comparison with those of DM and DR. We found that DF, DM, and DR were relative high-affinity ligands at sigma-1 receptors (Ki=151, 205, 144 nM, respectively) while all of them were with low affinity at sigma-2 receptors (Ki=4-11 microM). Only DR exhibited moderate affinity for PCP sites (Ki=0.9 microM), whereas DF (Ki=17 microM) and DM (Ki=7 microM) were much less active. DF, DM and DR produced prominent anticonvulsant effects in mice as measured by the supramaximal electroshock test with comparable potency (ED50 approximately 70 micromol/kg, i.p.). At the tested doses (20-260 micromol/kg, i.p.), DM and DR exhibited biphasic effects on the locomotor activity whereas DF produced a consistent dose-dependent decrease. These results revealed that, unlike DM and DR, DF did not cause a PCP-like hyperlocomotion adverse effect that is parallel with the PCP sites binding data. Furthermore, since they have equipotent anticonvulsant effects and similar binding affinities to sigma-1 receptors, the very low affinity of DF at PCP sites may suggest that acting on the PCP sites may not be the requisite for mediating the anticonvulsant activity of these DM analogs. With the history of safety and relative less adverse effects, DF appears to be worth further studying on its CNS effects other than the antitussive effect.
10082498	Angiotensin II receptor blockade in normotensive subjects: A direct comparison of three AT1 receptor antagonists.	Use of angiotensin (Ang) II AT1 receptor antagonists for treatment of hypertension is rapidly increasing, yet direct comparisons of the relative efficacy of antagonists to block the renin-angiotensin system in humans are lacking. In this study, the Ang II receptor blockade induced by the recommended starting dose of 3 antagonists was evaluated in normotensive subjects in a double-blind, placebo-controlled, randomized, 4-way crossover study. At 1-week intervals, 12 subjects received a single dose of losartan (50 mg), valsartan (80 mg), irbesartan (150 mg), or placebo. Blockade of the renin-angiotensin system was assessed before and 4, 24, and 30 hours after drug intake by 3 independent methods: inhibition of the blood pressure response to exogenous Ang II, in vitro Ang II receptor assay, and reactive changes in plasma Ang II levels. At 4 hours, losartan blocked 43% of the Ang II-induced systolic blood pressure increase; valsartan, 51%; and irbesartan, 88% (P<0.01 between drugs). The effect of each drug declined with time. At 24 hours, a residual effect was found with all 3 drugs, but at 30 hours, only irbesartan induced a marked, significant blockade versus placebo. Similar results were obtained when Ang II receptor blockade was assessed with an in vitro receptor assay and by the reactive rise in plasma Ang II levels. This study thus demonstrates that the first administration of the recommended starting dose of irbesartan induces a greater and longer lasting Ang II receptor blockade than that of valsartan and losartan in normotensive subjects.
10193663	Characterisation of the 5-HT receptor binding profile of eletriptan and kinetics of [3H]eletriptan binding at human 5-HT1B and 5-HT1D receptors.	The affinity of eletriptan ((R)-3-(1-methyl-2-pyrrolidinylmethyl)-5-[2-(phenylsulphonyl )ethyl]-1H-indole) for a range of 5-HT receptors was compared to values obtained for other 5-HT1B/1D receptor agonists known to be effective in the treatment of migraine. Eletriptan, like sumatriptan, zolmitriptan, naratriptan and rizatriptan had highest affinity for the human 5-HT1B, 5-HT1D and putative 5-ht1f receptor. Kinetic studies comparing the binding of [3H]eletriptan and [3H]sumatriptan to the human recombinant 5-HT1B and 5-HT1D receptors expressed in HeLa cells revealed that both radioligands bound with high specificity (>90%) and reached equilibrium within 10-15 min. However, [3H]eletriptan had over 6-fold higher affinity than [3H]sumatriptan at the 5-HT1D receptor (K(D)): 0.92 and 6.58 nM, respectively) and over 3-fold higher affinity than [3H]sumatriptan at the 5-HT1B receptor (K(D): 3.14 and 11.07 nM, respectively). Association and dissociation rates for both radioligands could only be accurately determined at the 5-HT1D receptor and then only at 4 degrees C. At this temperature, [3H]eletriptan had a significantly (P<0.05) faster association rate (K(on) 0.249 min(-1) nM(-1)) than [3H]sumatriptan (K(on) 0.024 min(-1) nM(-1)) and a significantly (P<0.05) slower off-rate (K(off) 0.027 min(-1) compared to 0.037 min(-1) for [3H]sumatriptan). These data indicate that eletriptan is a potent ligand at the human 5-HT1B, 5-HT1D, and 5-ht1f receptors and are consistent with its potent vasoconstrictor activity and use as a drug for the acute treatment of migraine headache.
10193665	Pharmacological profile of neuroleptics at human monoamine transporters.	Using radioligand binding techniques, we determined the equilibrium dissociation constants (K(D)) for 37 neuroleptics and one metabolite of a neuroleptic (haloperidol metabolite) for the human serotonin, norepinephrine, and dopamine transporters with [3H]imipramine, [3H]nisoxetine, and [3H]WIN35428, respectively. Among neuroleptics, the four most potent compounds at the human serotonin transporter were triflupromazine, fluperlapine, chlorpromazine, and ziprasidone (K(D) 24-39 nM); and at the norepinephrine transporter, chlorpromazine, zotepine, chlorprothixene, and promazine (K(D) 19-25 nM). At the human dopamine transporter, only pimozide (K(D) = 69+/-3) ziprasidone (K(D) = 76+/-5) had notable potency. These data may be useful in predicting therapeutic and adverse effects, including drug interactions of neuroleptics.
10226872	Disodium cromoglycate does not prevent terbutaline-induced desensitization of beta 2-adrenoceptor-mediated cardiovascular in vivo functions in human volunteers.	In humans, prolonged administration of the beta 2-adrenoceptor agonist terbutaline leads to a desensitization of beta 2-adrenoceptor-mediated cardiovascular responses, which can be blunted by concomitant administration of the antianaphylactic drug ketotifen. This study investigated the effect of disodium cromoglycate, another antiallergic drug, on terbutaline-induced desensitization of beta-adrenoceptor-mediated cardiovascular and noncardiovascular responses. In a double-blind, placebo-controlled, randomized design, nine healthy male volunteers received disodium cromoglycate (4 x 200 mg/day, p.o.) or placebo for 3 weeks with terbutaline (3 x 5 mg/day, p.o.) administered concomitantly during the last 2 weeks. beta 2-Adrenoceptor cardiovascular function was assessed by the increase in heart rate and reduction of diastolic blood pressure induced by an incremental intravenous infusion of the unselective beta-adrenoceptor agonist isoprenaline; beta 1-adrenoceptor cardiovascular function was assessed by exercise-induced tachycardia. Tremulousness was monitored as a beta 2-adrenoceptor-mediated noncardiovascular effect. After 2 weeks' administration of terbutaline, there was a marked and significant (p < 0.001) attenuation of isoprenaline-induced tachycardia (mean percentage attenuation, 53.3%) and of the isoprenaline-induced decrease in diastolic blood pressure (mean percentage attenuation, 55.6%). Exercise-induced tachycardia also was significantly (p < 0.001) blunted, but the magnitude of this attenuation was only very small (mean attenuation, 5.6%). Disodium cromoglycate affected neither the rightward shift of beta 2-adrenoceptor-mediated responses nor the small rightward shift in beta 1-adrenoceptor-mediated exercise tachycardia after 2 weeks' administration of terbutaline. Tremulousness observed during the first few days of terbutaline administration disappeared after 4 to 8 days, indicating development of desensitization of beta 2-adrenoceptor-mediated noncardiovascular responses. This was not prevented by disodium cromoglycate. These results confirm that long-term beta 2-adrenoceptor agonist therapy leads to a desensitization of beta 2-adrenoceptor-mediated cardiovascular and noncardiovascular effects in humans in vivo. However, unlike ketotifen, cromolyn sodium is not able to attenuate this desensitization.
10362188	A multicenter, randomized study of argatroban versus heparin as adjunct to tissue plasminogen activator (TPA) in acute myocardial infarction: myocardial infarction with novastan and TPA (MINT) study.	OBJECTIVES: This study examined the effect of a small-molecule, direct thrombin inhibitor, argatroban, on reperfusion induced by tissue plasminogen activator (TPA) in patients with acute myocardial infarction (AMI). BACKGROUND: Thrombin plays a crucial role in thrombosis and thrombolysis. In vitro and in vivo studies have shown that argatroban has advantages over heparin for the inhibition of clot-bound thrombin and for the enhancement of thrombolysis with TPA. METHODS: One hundred and twenty-five patients with AMI within 6 h were randomized to heparin, low-dose argatroban or high-dose argatroban in addition to TPA. The primary end point was the rate of thrombolysis in myocardial infarction (TIMI) grade 3 flow at 90 min. RESULTS: TIMI grade 3 flow was achieved in 42.1% of heparin, 56.8% of low-dose argatroban (p = 0.20 vs. heparin) and 58.7% of high-dose argatroban patients (p = 0.13 vs. heparin). In patients presenting after 3 h, TIMI grade 3 flow was significantly more frequent in high-dose argatroban versus heparin patients: 57.1% versus 20.0% (p = 0.03 vs. heparin). Major bleeding was observed in 10.0% of heparin, and in 2.6% and 4.3% of low-dose and high-dose argatroban patients, respectively. The composite of death, recurrent myocardial infarction, cardiogenic shock or congestive heart failure, revascularization and recurrent ischemia at 30 days occurred in 37.5% of heparin, 32.0% of low-dose argatroban and 25.5% of high-dose argatroban patients (p = 0.23). CONCLUSIONS: Argatroban, as compared with heparin, appears to enhance reperfusion with TPA in patients with AMI, particularly in those patients with delayed presentation. The incidences of major bleeding and adverse clinical outcome were lower in the patients receiving argatroban.
10373224	Mechanistic differences of various AT1-receptor blockers in isolated vessels of different origin.	The functional inhibitory characteristics of the angiotensin II type 1 receptor blockers (ARB) candesartan; irbesartan; and losartan and its active metabolite EXP 3174 (EXP) were studied in rabbit aortic strips and rat portal vein preparations in vitro. Moreover, plasma-protein binding was determined, and the binding was high (>98. 5%) for all ARBs. These values were needed to relate the concentrations of the ARBs used in vitro to the nonprotein bound concentrations in clinical use. In both vascular preparations, candesartan caused a marked decrease in the maximal contractile response of the angiotensin II (Ang II) concentration-response curve. Losartan, EXP, and irbesartan caused a rightward parallel shift without any major effects on the maximal response to Ang II. The inhibitory effect of candesartan developed slowly (maximal effect after >30 minutes) and lasted >2 hours despite repeated washing of the vessels. The effect of losartan, irbesartan, and EXP had a faster onset, and most of the inhibitory effect disappeared after washing. The duration of the inhibitory effects of the ARBs were not related to lipophilicity of the compounds. Cooling of the rat portal vein preparations to 4 degrees C before administration of candesartan prevented the persistent inhibition of Ang II response seen at 37 degrees C. For the other ARBs studied, the magnitude of inhibition and the speed of recovery of the Ang II response were independent of the incubation temperature before washing. In addition, when candesartan was given to conscious rats, the inhibitory effect on Ang II-induced blood pressure responses persisted during the 24-hour period despite nondetectable plasma concentrations of candesartan at 24 hours. It is concluded that functional inhibitory characteristics of candesartan differ from those of the other ARBs tested. At clinically relevant concentrations, candesartan is an insurmountable and long-lasting antagonist of the vascular contractile responses to Ang II.
10381787	Dose-dependent inhibition of platelet cyclooxygenase-1 and monocyte cyclooxygenase-2 by meloxicam in healthy subjects.	We evaluated whether therapeutic blood levels of meloxicam are associated with selective inhibition of monocyte cyclooxygenase (COX)-2 in vitro and ex vivo. Concentration-response curves for the inhibition of monocyte COX-2 and platelet COX-1 were obtained in vitro after the incubation of meloxicam with whole blood samples. Moreover, 11 healthy volunteers received placebo or 7.5 or 15 mg/day meloxicam, each treatment for 7 consecutive days, according to a randomized, double-blind, crossover design. Before dosing and 24 h after the seventh dose of each regimen, heparinized whole blood samples were incubated with lipopolysaccharide (10 microgram/ml) for 24 h at 37 degrees C, and prostaglandin E2 was measured in plasma as an index of monocyte COX-2 activity. The production of thromboxane B2 in whole blood allowed to clot at 37 degrees C for 60 min was assessed as an index of platelet COX-1 activity. The administration of placebo did not significantly affect plasma prostaglandin E2 (21. 3 +/- 7.5 versus 19.1 +/- 4 ng/ml, mean +/- S.D., n = 11) or serum thromboxane B2 (426 +/- 167 versus 425 +/- 150 ng/ml) levels. In contrast, the administration of 7.5 and 15 mg of meloxicam caused dose-dependent reductions in monocyte COX-2 activity by 51% and 70%, respectively, and in platelet COX-1 activity by 25% and 35%, respectively. Although the IC50 value of meloxicam for inhibition of COX-1 was 10-fold higher than the IC50 value of COX-2 in vitro, this biochemical selectivity was inadequate to clearly separate the effects of meloxicam on the two isozymes after oral dosing as a function of the daily dose and interindividual variation in steady-state plasma levels.
10432475	Modulation of dialysate levels of dopamine, noradrenaline, and serotonin (5-HT) in the frontal cortex of freely-moving rats by (-)-pindolol alone and in association with 5-HT reuptake inhibitors: comparative roles of beta-adrenergic, 5-HT1A, and 5-HT1B receptors.	(-)-Pindolol, which possesses significant affinity for 5-HT1A, 5-HT1B, and beta 1/2-adrenergic receptors (AR)s, dose-dependently increased extracellular levels of dopamine (DA) and noradrenaline (NAD) versus 5-HT, in dialysates of the frontal cortex (FCX), but not accumbens and striatum, of freely-moving rats. In distinction, the preferential beta 1-AR antagonist, betaxolol, and the preferential beta 2-AR antagonist, ICI118,551, did not increase basal levels of DA, NAD, or 5-HT. Further, they both dose-dependently and markedly blunted the influence of (-)-pindolol upon DA and NAD levels. The selective 5-HT1A receptor antagonist, WAY100,635, slightly attenuated the (-)-pindolol-induced increase in DA and NAD levels, while the selective 5-HT1B antagonist, SB224,289, was ineffective. These data suggest that (-)-pindolol facilitates frontocortical dopaminergic (and adrenergic) transmission primarily by activation of beta 1/2-ARs and, to a lesser degree, by stimulation of 5-HT1A receptors, whereas 5-HT1B receptors are not involved. (-)-Pindolol potentiated the increase in FCX levels of 5-HT elicited by the 5-HT reuptake inhibitors, fluoxetine and duloxetine, and also enhanced their ability to elevate FCX levels of DA--though not of NAD. In contrast to (-)-pindolol, betaxolol and ICI118,551 did not affect the actions of fluoxetine, whereas both WAY100,635 and SB224,289 potentiated the increase in levels of 5-HT--but not DA or NAD levels--elicited by fluoxetine. In conclusion, (-)-pindolol modulates, both alone and together with 5-HT reuptake inhibitors, dopaminergic, adrenergic, and serotonergic transmission in the FCX via a complex pattern of actions at beta 1/2-ARs, 5-HT1A, and 5-HT1B receptors. These findings have important implications for clinical studies of the influence of (-)-pindolol upon the actions of antidepressant agents.
10439935	Entacapone. A review of its use in Parkinson's disease.	UNLABELLED: Entacapone is a potent and specific peripheral catechol-O-methyltransferase (COMT) inhibitor. It has been shown to improve the clinical benefits of levodopa plus an aromatic L-amino acid decarboxylase inhibitor (AADC) when given to patients with Parkinson's disease and end-of-dose deterioration in the response to levodopa (the 'wearing off' phenomenon). The efficacy of entacapone is currently being assessed in patients with stable Parkinson's disease. In 2 well conducted trials of 6 months' duration and smaller short term studies, treatment with entacapone (200 mg with each dose of levodopa/AADC inhibitor) was associated with significant increases in daily 'on' time and decreases in 'off' time. Changes in Unified Parkinson's Disease Rating Scale (UPDRS) scores concurred with changes in 'on' and 'off' times: entacapone improved total, activities of daily living and motor function scores, but it had no effect on mentation scores. Entacapone also provided benefits when given with controlled release levodopa/ AADC inhibitor or with standard levodopa/AADC inhibitor and selegiline in small trials. Dopaminergic events, including dyskinesia and nausea, are among the most common events with entacapone, and are related to the drug's ability to potentiate the effects of levodopa. Diarrhoea, abdominal pain, constipation and urine discolouration are the most common nondopaminergic events, although the latter event is the only one to occur consistently more frequently with entacapone than with placebo. However, adverse events of any type infrequently led to study discontinuation. CONCLUSIONS: The efficacy and tolerability of entacapone administered with levodopa/AADC inhibitor have not yet been compared with those of other strategies for the treatment of Parkinson's disease. However, once the decision to initiate levodopa therapy has been made, studies generally support the use of entacapone as an adjunct to levodopa in patients with Parkinson's disease and the 'wearing off' phenomenon.
