nfz8w8na,421f8341eae777852e0b4584e7221b39a0544518,CZI,"The Politics of Disease Epidemics: a Comparative Analysis of the SARS, Zika, and Ebola Outbreaks",10.1007/s40609-018-0123-y,,,cc-by,"Over the past few decades, disease outbreaks have become increasingly frequent and widespread. The epicenters of these outbreaks have differed, and could be linked to different economic contexts. Arguably, the responses to these outbreaks have been “political” and inherently burdensome to marginalized populations. Key lessons can be learned from exploring the narratives about the different epidemics in varying income settings. Based on a review of the published medical, social, and political literature, which was accessed using four electronic databases—PubMed, Sociological Abstracts, Scholars Portal, and Web of Science, the overall objective of this paper discuss scholars’ narratives on the “politics” of Ebola in a low-income setting, Zika virus in a middle-income setting, and SARS in a high-income setting. Various themes of the politics of epidemics were prominent in the literature. The narratives demonstrated the influence of power in whose narratives and what narratives are presented in the literature. While marginalized populations were reported to have borne the brunt of all disease outbreaks in the different contexts, the prevalence of their narratives within the reviewed literature was limited. Regardless of income setting, there is a need to give voice to the most marginalized communities during an epidemic. The experiences and narratives of those most vulnerable to an epidemic—specifically poor communities—need to be represented in the literature. This could contribute to mitigating some of the negative impact of the politics in epidemics.",2020,"Kapiriri, Lydia; Ross, Alison",Global Social Welfare,2890713974,#1136,True,comm_use_subset,https://doi.org/10.1007/s40609-018-0123-y
ff7dg890,04603867552ffafcaeff68fe8bf7f190ebb08a78,PMC,Appropriate Models for the Management of Infectious Diseases,10.1371/journal.pmed.0020174,PMC1181873,16013892,cc-by,"BACKGROUND: Mathematical models have become invaluable management tools for epidemiologists, both shedding light on the mechanisms underlying observed dynamics as well as making quantitative predictions on the effectiveness of different control measures. Here, we explain how substantial biases are introduced by two important, yet largely ignored, assumptions at the core of the vast majority of such models. METHODS AND FINDINGS: First, we use analytical methods to show that (i) ignoring the latent period or (ii) making the common assumption of exponentially distributed latent and infectious periods (when including the latent period) always results in underestimating the basic reproductive ratio of an infection from outbreak data. We then proceed to illustrate these points by fitting epidemic models to data from an influenza outbreak. Finally, we document how such unrealistic a priori assumptions concerning model structure give rise to systematically overoptimistic predictions on the outcome of potential management options. CONCLUSION: This work aims to highlight that, when developing models for public health use, we need to pay careful attention to the intrinsic assumptions embedded within classical frameworks.",2005-07-26,"Wearing, Helen J; Rohani, Pejman; Keeling, Matt J",PLoS Med,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1181873/
fl6wlhjs,139b81bc9c99d76cffc2014c4851942d2f592950,PMC,Modeling and detection of respiratory-related outbreak signatures,10.1186/1472-6947-7-28,PMC2203979,17919318,cc-by,"BACKGROUND: Time series methods are commonly used to detect disease outbreak signatures (e.g., signals due to influenza outbreaks and anthrax attacks) from varying respiratory-related diagnostic or syndromic data sources. Typically this involves two components: (i) Using time series methods to model the baseline background distribution (the time series process that is assumed to contain no outbreak signatures), (ii) Detecting outbreak signatures using filter-based time series methods. METHODS: We consider time series models for chest radiograph data obtained from Midwest children's emergency departments. These models incorporate available covariate information such as patient visit counts and smoothed ambient temperature series, as well as time series dependencies on daily and weekly seasonal scales. Respiratory-related outbreak signature detection is based on filtering the one-step-ahead prediction errors obtained from the time series models for the respiratory-complaint background. RESULTS: Using simulation experiments based on a stochastic model for an anthrax attack, we illustrate the effect of the choice of filter and the statistical models upon radiograph-attributed outbreak signature detection. CONCLUSION: We demonstrate the importance of using seasonal autoregressive integrated average time series models (SARIMA) with covariates in the modeling of respiratory-related time series data. We find some homogeneity in the time series models for the respiratory-complaint backgrounds across the Midwest emergency departments studied. Our simulations show that the balance between specificity, sensitivity, and timeliness to detect an outbreak signature differs by the emergency department and the choice of filter. The linear and exponential filters provide a good balance.",2007-10-05,"Craigmile, Peter F; Kim, Namhee; Fernandez, Soledad A; Bonsu, Bema K",BMC Med Inform Decis Mak,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2203979/
uo1d8xka,111968f7fb102882c193488965e41d5d0f0103dc,PMC,Comparative phyloinformatics of virus genes at micro and macro levels in a distributed computing environment,10.1186/1471-2105-9-s1-s23,PMC2259424,18315855,cc-by,"BACKGROUND: Preparedness for a possible global pandemic caused by viruses such as the highly pathogenic influenza A subtype H5N1 has become a global priority. In particular, it is critical to monitor the appearance of any new emerging subtypes. Comparative phyloinformatics can be used to monitor, analyze, and possibly predict the evolution of viruses. However, in order to utilize the full functionality of available analysis packages for large-scale phyloinformatics studies, a team of computer scientists, biostatisticians and virologists is needed – a requirement which cannot be fulfilled in many cases. Furthermore, the time complexities of many algorithms involved leads to prohibitive runtimes on sequential computer platforms. This has so far hindered the use of comparative phyloinformatics as a commonly applied tool in this area. RESULTS: In this paper the graphical-oriented workflow design system called Quascade and its efficient usage for comparative phyloinformatics are presented. In particular, we focus on how this task can be effectively performed in a distributed computing environment. As a proof of concept, the designed workflows are used for the phylogenetic analysis of neuraminidase of H5N1 isolates (micro level) and influenza viruses (macro level). The results of this paper are hence twofold. Firstly, this paper demonstrates the usefulness of a graphical user interface system to design and execute complex distributed workflows for large-scale phyloinformatics studies of virus genes. Secondly, the analysis of neuraminidase on different levels of complexity provides valuable insights of this virus's tendency for geographical based clustering in the phylogenetic tree and also shows the importance of glycan sites in its molecular evolution. CONCLUSION: The current study demonstrates the efficiency and utility of workflow systems providing a biologist friendly approach to complex biological dataset analysis using high performance computing. In particular, the utility of the platform Quascade for deploying distributed and parallelized versions of a variety of computationally intensive phylogenetic algorithms has been shown. Secondly, the analysis of the utilized H5N1 neuraminidase datasets at macro and micro levels has clearly indicated a pattern of spatial clustering of the H5N1 viral isolates based on geographical distribution rather than temporal or host range based clustering.",2008-02-13,"Singh, Dadabhai T; Trehan, Rahul; Schmidt, Bertil; Bretschneider, Timo",BMC Bioinformatics,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2259424/
rl7sdzd7,3f842ddde61088937e203ddec6ace954e479499e,PMC,Detection of genetically modified organisms (GMOs) using isothermal amplification of target DNA sequences,10.1186/1472-6750-9-7,PMC2656497,19187544,cc-by,"BACKGROUND: The most common method of GMO detection is based upon the amplification of GMO-specific DNA amplicons using the polymerase chain reaction (PCR). Here we have applied the loop-mediated isothermal amplification (LAMP) method to amplify GMO-related DNA sequences, 'internal' commonly-used motifs for controlling transgene expression and event-specific (plant-transgene) junctions. RESULTS: We have tested the specificity and sensitivity of the technique for use in GMO studies. Results show that detection of 0.01% GMO in equivalent background DNA was possible and dilutions of template suggest that detection from single copies of the template may be possible using LAMP. CONCLUSION: This work shows that GMO detection can be carried out using LAMP for routine screening as well as for specific events detection. Moreover, the sensitivity and ability to amplify targets, even with a high background of DNA, here demonstrated, highlights the advantages of this isothermal amplification when applied for GMO detection.",2009-02-02,"Lee, David; La Mura, Maurizio; Allnutt, Theo R; Powell, Wayne",BMC Biotechnol,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2656497/
klnsklr3,c7b16abf574515b631f758dc51170ef757fd58b4,PMC,Lactate Dehydrogenase-Elevating Virus Induces Systemic Lymphocyte Activation via TLR7-Dependent IFNα Responses by Plasmacytoid Dendritic Cells,10.1371/journal.pone.0006105,PMC2699471,19568424,cc0,"BACKGROUND: Lactate dehydrogenase-elevating virus (LDV) is a natural infectious agent of mice. Like several other viruses, LDV causes widespread and very rapid but transient activation of both B cells and T cells in lymphoid tissues and the blood. The mechanism of this activation has not been fully described and is the focus of the current studies. PRINCIPAL FINDINGS: A known inducer of early lymphocyte activation is IFNα, a cytokine strongly induced by LDV infection. Neutralization of IFNα in the plasma from infected mice ablated its ability to activate lymphocytes in vitro. Since the primary source of virus-induced IFNα in vivo is often plasmacytoid dendritic cells (pDC's), we depleted these cells prior to LDV infection and tested for lymphocyte activation. Depletion of pDC's in vivo eradicated both the LDV-induced IFNα response and lymphocyte activation. A primary receptor in pDC's for single stranded RNA viruses such as LDV is the toll-like receptor 7 (TLR7) pattern recognition receptor. Infection of TLR7-knockout mice revealed that both the IFNα response and lymphocyte activation were dependent on TLR7 signaling in vivo. Interestingly, virus levels in both TLR7 knockout mice and pDC-depleted mice were indistinguishable from controls indicating that LDV is largely resistant to the systemic IFNα response. CONCLUSION: Results indicate that LDV-induced activation of lymphocytes is due to recognition of LDV nucleic acid by TLR7 pattern recognition receptors in pDC's that respond with a lymphocyte-inducing IFNα response.",2009-07-01,"Ammann, Christoph G.; Messer, Ronald J.; Peterson, Karin E.; Hasenkrug, Kim J.",PLoS One,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2699471/
v6a41kh8,ff4fffe02138b0b232334d997965d11fd936916b,PMC,RNA viruses in community-acquired childhood pneumonia in semi-urban Nepal; a cross-sectional study,10.1186/1741-7015-7-35,PMC2727531,19635124,cc-by,"BACKGROUND: Pneumonia is among the main causes of illness and death in children <5 years of age. There is a need to better describe the epidemiology of viral community-acquired pneumonia (CAP) in developing countries. METHODS: From July 2004 to June 2007, we examined nasopharyngeal aspirates (NPA) from 2,230 cases of pneumonia (World Health Organization criteria) in children 2 to 35 months old recruited in a randomized trial of zinc supplementation at a field clinic in Bhaktapur, Nepal. The specimens were examined for respiratory syncytial virus (RSV), influenza virus type A (InfA) and B (InfB), parainfluenza virus types 1, 2 and 3 (PIV1, PIV2, and PIV3), and human metapneumovirus (hMPV) using a multiplex reverse transcriptase polymerase chain reaction (PCR) assay. RESULTS: We identified 919 virus isolates in 887 (40.0%) of the 2,219 NPA specimens with a valid PCR result, of which 334 (15.1%) yielded RSV, 164 (7.4%) InfA, 129 (5.8%) PIV3, 98 (4.4%) PIV1, 93 (4.2%) hMPV, 84 (3.8%) InfB, and 17 (0.8%) PIV2. CAP occurred in an epidemic pattern with substantial temporal variation during the three years of study. The largest peaks of pneumonia occurrence coincided with peaks of RSV infection, which occurred in epidemics during the rainy season and in winter. The monthly number of RSV infections was positively correlated with relative humidity (r(s )= 0.40, P = 0.01), but not with temperature or rainfall. An hMPV epidemic occurred during one of the three winter seasons and the monthly number of hMPV cases was also associated with relative humidity (r(s )= 0.55, P = 0.0005). CONCLUSION: Respiratory RNA viruses were detected from NPA in 40% of CAP cases in our study. The most commonly isolated viruses were RSV, InfA, and PIV3. RSV infections contributed substantially to the observed CAP epidemics. The occurrence of viral CAP in this community seemed to reflect more or less overlapping micro-epidemics with several respiratory viruses, highlighting the challenges of developing and implementing effective public health control measures.",2009-07-27,"Mathisen, Maria; Strand, Tor A; Sharma, Biswa N; Chandyo, Ram K; Valentiner-Branth, Palle; Basnet, Sudha; Adhikari, Ramesh K; Hvidsten, Dag; Shrestha, Prakash S; Sommerfelt, Halvor",BMC Med,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2727531/
s1gwh4qg,47266ea82145a11ad6e82db70a4d0fbd86a27cb2,PMC,SNAD: sequence name annotation-based designer,10.1186/1471-2105-10-251,PMC2739203,19682364,cc-by,"BACKGROUND: A growing diversity of biological data is tagged with unique identifiers (UIDs) associated with polynucleotides and proteins to ensure efficient computer-mediated data storage, maintenance, and processing. These identifiers, which are not informative for most people, are often substituted by biologically meaningful names in various presentations to facilitate utilization and dissemination of sequence-based knowledge. This substitution is commonly done manually that may be a tedious exercise prone to mistakes and omissions. RESULTS: Here we introduce SNAD (Sequence Name Annotation-based Designer) that mediates automatic conversion of sequence UIDs (associated with multiple alignment or phylogenetic tree, or supplied as plain text list) into biologically meaningful names and acronyms. This conversion is directed by precompiled or user-defined templates that exploit wealth of annotation available in cognate entries of external databases. Using examples, we demonstrate how this tool can be used to generate names for practical purposes, particularly in virology. CONCLUSION: A tool for controllable annotation-based conversion of sequence UIDs into biologically meaningful names and acronyms has been developed and placed into service, fostering links between quality of sequence annotation, and efficiency of communication and knowledge dissemination among researchers.",2009-08-14,"Sidorov, Igor A; Reshetov, Denis A; Gorbalenya, Alexander E",BMC Bioinformatics,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2739203/
lhn34tc4,c6e819e9d3fdfd19cafd2ddf160b9ed2cfd9a27a,PMC,Public perceptions of quarantine: community-based telephone survey following an infectious disease outbreak,10.1186/1471-2458-9-470,PMC2804616,20015400,cc-by,"BACKGROUND: The use of restrictive measures such as quarantine draws into sharp relief the dynamic interplay between the individual rights of the citizen on the one hand and the collective rights of the community on the other. Concerns regarding infectious disease outbreaks (SARS, pandemic influenza) have intensified the need to understand public perceptions of quarantine and other social distancing measures. METHODS: We conducted a telephone survey of the general population in the Greater Toronto Area in Ontario, Canada. Computer-assisted telephone interviewing (CATI) technology was used. A final sample of 500 individuals was achieved through standard random-digit dialing. RESULTS: Our data indicate strong public support for the use of quarantine when required and for serious legal sanctions against those who fail to comply. This support is contingent both on the implementation of legal safeguards to protect against inappropriate use and on the provision of psychosocial supports for those affected. CONCLUSION: To engender strong public support for quarantine and other restrictive measures, government officials and public health policy-makers would do well to implement a comprehensive system of supports and safeguards, to educate and inform frontline public health workers, and to engage the public at large in an open dialogue on the ethical use of restrictive measures during infectious disease outbreaks.",2009-12-16,"Tracy, C Shawn; Rea, Elizabeth; Upshur, Ross EG",BMC Public Health,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2804616/
442gq3k5,985a0071613514c5f07592dc4d94d8916c2052d0,PMC,Risk Factors of Streptococcus suis Infection in Vietnam. A Case-Control Study,10.1371/journal.pone.0017604,PMC3050921,21408132,cc-by,"BACKGROUND: Streptococcus suis infection, an emerging zoonosis, is an increasing public health problem across South East Asia and the most common cause of acute bacterial meningitis in adults in Vietnam. Little is known of the risk factors underlying the disease. METHODS AND FINDINGS: A case-control study with appropriate hospital and matched community controls for each patient was conducted between May 2006 and June 2009. Potential risk factors were assessed using a standardized questionnaire and investigation of throat and rectal S. suis carriage in cases, controls and their pigs, using real-time PCR and culture of swab samples. We recruited 101 cases of S. suis meningitis, 303 hospital controls and 300 community controls. By multivariate analysis, risk factors identified for S. suis infection as compared to either control group included eating “high risk” dishes, including such dishes as undercooked pig blood and pig intestine (OR(1) = 2.22; 95%CI = [1.15–4.28] and OR(2) = 4.44; 95%CI = [2.15–9.15]), occupations related to pigs (OR(1) = 3.84; 95%CI = [1.32–11.11] and OR(2) = 5.52; 95%CI = [1.49–20.39]), and exposures to pigs or pork in the presence of skin injuries (OR(1) = 7.48; 95%CI = [1.97–28.44] and OR(2) = 15.96; 95%CI = [2.97–85.72]). S. suis specific DNA was detected in rectal and throat swabs of 6 patients and was cultured from 2 rectal samples, but was not detected in such samples of 1522 healthy individuals or patients without S. suis infection. CONCLUSIONS: This case control study, the largest prospective epidemiological assessment of this disease, has identified the most important risk factors associated with S. suis bacterial meningitis to be eating ‘high risk’ dishes popular in parts of Asia, occupational exposure to pigs and pig products, and preparation of pork in the presence of skin lesions. These risk factors can be addressed in public health campaigns aimed at preventing S. suis infection.",2011-03-08,"Ho, Dang Trung Nghia; Le, Thi Phuong Tu; Wolbers, Marcel; Cao, Quang Thai; Nguyen, Van Minh Hoang; Tran, Vu Thieu Nga; Le, Thi Phuong Thao; Nguyen, Hoan Phu; Tran, Thi Hong Chau; Dinh, Xuan Sinh; To, Song Diep; Hoang, Thi Thanh Hang; Hoang, Truong; Campbell, James; Nguyen, Van Vinh Chau; Nguyen, Tran Chinh; Nguyen, Van Dung; Ngo, Thi Hoa; Spratt, Brian G.; Tran, Tinh Hien; Farrar, Jeremy; Schultsz, Constance",PLoS One,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3050921/
tg0tczni,568cf52b425ceaf8d1e9a14bbd088c493e8fd4fe,PMC,Analysis of codon usage and nucleotide composition bias in polioviruses,10.1186/1743-422x-8-146,PMC3079669,21450075,cc-by,"BACKGROUND: Poliovirus, the causative agent of poliomyelitis, is a human enterovirus and a member of the family of Picornaviridae and among the most rapidly evolving viruses known. Analysis of codon usage can reveal much about the molecular evolution of the viruses. However, little information about synonymous codon usage pattern of polioviruses genome has been acquired to date. METHODS: The relative synonymous codon usage (RSCU) values, effective number of codon (ENC) values, nucleotide contents and dinucleotides were investigated and a comparative analysis of codon usage pattern for open reading frames (ORFs) among 48 polioviruses isolates including 31 of genotype 1, 13 of genotype 2 and 4 of genotype 3. RESULTS: The result shows that the overall extent of codon usage bias in poliovirus samples is low (mean ENC = 53.754 > 40). The general correlation between base composition and codon usage bias suggests that mutational pressure rather than natural selection is the main factor that determines the codon usage bias in those polioviruses. Depending on the RSCU data, it was found that there was a significant variation in bias of codon usage among three genotypes. Geographic factor also has some effect on the codon usage pattern (exists in the genotype-1 of polioviruses). No significant effect in gene length or vaccine derived polioviruses (DVPVs), wild viruses and live attenuated virus was observed on the variations of synonymous codon usage in the virus genes. The relative abundance of dinucleotide (CpG) in the ORFs of polioviruses are far below expected values especially in DVPVs and attenuated virus of polioviruses genotype 1. CONCLUSION: The information from this study may not only have theoretical value in understanding poliovirus evolution, especially for DVPVs genotype 1, but also have potential value for the development of poliovirus vaccines.",2011-03-30,"Zhang, Jie; Wang, Meng; Liu, Wen-qian; Zhou, Jian-hua; Chen, Hao-tai; Ma, Li-na; Ding, Yao-zhong; Gu, Yuan-xing; Liu, Yong-sheng",Virol J,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3079669/
